board_position,player_white,voc,move_time,elo,n_candidates,ply
3rq2k/2p3p1/p1P2b1p/7n/1PQ1p3/3p2P1/P2B1PKP/1R2R3,False,0.0,49,2030,5,0
4q2k/2p3p1/p1P2b1p/7n/1PQrp3/3p2P1/P2B1PKP/1R2R3,True,0.025000000000000022,47,2039,5,0
4q2k/2p3p1/p1P2b1p/2Q4n/1P1rp3/3p2P1/P2B1PKP/1R2R3,False,0.0,15,2030,5,0
7k/2p3p1/p1P2bqp/2Q4n/1P1rp3/3p2P1/P2B1PKP/1R2R3,True,0.402,41,2039,5,0
7k/2p3p1/p1P2bqp/1PQ4n/3rp3/3p2P1/P2B1PKP/1R2R3,False,0.0,11,2030,5,0
7k/2p3p1/2P2bqp/1pQ4n/3rp3/3p2P1/P2B1PKP/1R2R3,True,0.0,7,2039,5,0
7k/2p3p1/2P2bqp/1RQ4n/3rp3/3p2P1/P2B1PKP/4R3,False,0.0,41,2030,5,0
7k/2p3p1/2P2bqp/1RQ4n/3r4/3pp1P1/P2B1PKP/4R3,True,0.501,22,2039,5,0
1R6/2p3pk/2P2bqp/2Q4n/3r4/3pp1P1/P2B1PKP/4R3,True,0.0,13,2039,5,0
1R3Q2/2p3pk/2P2bqp/7n/3r4/3pp1P1/P2B1PKP/4R3,False,0.0,15,2030,5,0
1R3Q2/2p3pk/2P2b1p/5q1n/3r4/3pp1P1/P2B1PKP/4R3,True,0.0,9,2039,5,0
1R4Q1/2p3p1/2P2bkp/5q1n/3r4/3pp1P1/P2B1PKP/4R3,True,0.0,2,2039,5,0
1R2Q3/2p3pk/2P2b1p/5q1n/3r4/3pp1P1/P2B1PKP/4R3,True,0.0,11,2039,5,0
1R2Q3/2p3pk/2P2b1p/5q1n/3r4/3pB1P1/P4PKP/4R3,False,0.0,17,2030,5,0
1R2Q3/2p3pk/2P2b1p/5q1n/3r4/4B1P1/P2p1PKP/4R3,True,0.02300000000000002,13,2039,5,0
1R2Q3/2p3pk/2P2b1p/5q1n/3r4/4B1P1/P2p1PKP/3R4,False,0.0,16,2030,5,0
1R2Q3/2p3pk/2P2b1p/3q3n/3r4/4B1P1/P2p1PKP/3R4,True,0.0,13,2039,5,0
1R2Q3/2p3pk/2P2b1p/3q3n/3r4/4B1P1/P2p1P1P/3R2K1,False,0.0,7,2030,5,0
1R2Q3/2p3pk/2P2b1p/3q3n/4r3/4B1P1/P2p1P1P/3R2K1,True,0.0,22,2039,5,0
1RQ5/2p3pk/2P2b1p/3q3n/4r3/4B1P1/P2p1P1P/3R2K1,False,0.0,39,2030,5,0
1RQ5/2p3pk/2P2b1p/3q3n/8/4r1P1/P2p1P1P/3R2K1,True,0.0,3,2039,5,0
1RQ5/2p3pk/2P2b1p/3q3n/8/4P1P1/P2p3P/3R2K1,False,0.0,3,2030,5,0
1RQ5/2p3pk/2P2b1p/7n/8/4PqP1/P2p3P/3R2K1,True,0.0,15,2039,5,0
1R4Q1/2p3p1/2P2bkp/7n/8/4PqP1/P2p3P/3R2K1,True,0.0,3,2039,5,0
1R2Q3/2p3pk/2P2b1p/7n/8/4PqP1/P2p3P/3R2K1,True,0.0,3,2039,5,0
4Q3/2p3pk/2P2b1p/7n/8/4PqP1/P2p3P/1R1R2K1,False,0.0,6,2030,5,0
4Q3/2p3pk/2P2b1p/8/8/4Pqn1/P2p3P/1R1R2K1,True,0.0,1,2039,5,0
4Q3/2p3pk/2P2b1p/8/8/4PqP1/P2p4/1R1R2K1,False,0.0,2,2030,5,0
4Q3/2p3pk/2P2b1p/8/8/4P1q1/P2p4/1R1R2K1,True,0.0,0,2039,2,0
4Q3/2p3pk/2P2b1p/8/8/4P1q1/P2p4/1R1R1K2,False,0.0,3,2030,5,0
