board_position,player_white,voc,move_time,elo,n_candidates,ply
r1bqkb1r/pp3ppp/2n1pn2/3p2B1/2PP4/2N2N2/PP3PPP/R2QKB1R,False,0.177,0.0,2113,5,14
r1bqk2r/pp3ppp/2n1pn2/3p2B1/1bPP4/2N2N2/PP3PPP/R2QKB1R,True,0.0,3.0,2083,5,15
r1bqk2r/pp3ppp/2n1pn2/3P2B1/1b1P4/2N2N2/PP3PPP/R2QKB1R,False,0.0,10.0,2113,5,16
r1b1k2r/pp3ppp/2n1pn2/3q2B1/1b1P4/2N2N2/PP3PPP/R2QKB1R,True,0.011,16.0,2083,5,17
r1b1k2r/pp3ppp/2n1pB2/3q4/1b1P4/2N2N2/PP3PPP/R2QKB1R,False,0.0,2.0,2113,5,18
r1b1k2r/pp3p1p/2n1pp2/3q4/1b1P4/2N2N2/PP3PPP/R2QKB1R,True,0.013,3.0,2083,5,19
r1b1k2r/pp3p1p/2n1pp2/3q4/1b1P4/2N2N2/PP2BPPP/R2QK2R,False,0.002,8.0,2113,5,20
r1b1k2r/pp3p1p/2n1pp2/q7/1b1P4/2N2N2/PP2BPPP/R2QK2R,True,0.0,26.0,2083,5,21
r1b1k2r/pp3p1p/2n1pp2/q7/1b1P4/2N2N2/PPQ1BPPP/R3K2R,False,0.0,3.0,2113,5,22
r1b4r/pp2kp1p/2n1pp2/q7/1b1P4/2N2N2/PPQ1BPPP/R3K2R,True,0.0,2.0,2083,5,23
r1b4r/pp2kp1p/2n1pp2/q7/1b1P4/2N2N2/PPQ1BPPP/R4RK1,False,0.911,2.0,2113,5,24
r1br4/pp2kp1p/2n1pp2/q7/1b1P4/2N2N2/PPQ1BPPP/R4RK1,True,0.026,3.0,2083,5,25
r1br4/pp2kp1p/2n1pp2/q7/1b1P4/2N2N2/PPQ1BPPP/R2R2K1,False,0.0,6.0,2113,5,26
r1br4/pp2kp1p/2nbpp2/q7/3P4/2N2N2/PPQ1BPPP/R2R2K1,True,0.002,3.0,2083,5,27
r1br4/pp2kp1p/2nbpp2/q7/3PN3/5N2/PPQ1BPPP/R2R2K1,False,0.001,7.0,2113,5,28
r1br4/ppb1kp1p/2n1pp2/q7/3PN3/5N2/PPQ1BPPP/R2R2K1,True,0.1529999999999999,7.0,2083,5,29
r1br4/ppb1kp1p/2n1pp2/q7/3P4/5NN1/PPQ1BPPP/R2R2K1,False,0.0,3.0,2113,5,30
r1br4/ppb1kp2/2n1pp2/q6p/3P4/5NN1/PPQ1BPPP/R2R2K1,True,0.931,15.0,2083,5,31
r1br4/ppb1kp2/2n1pp2/q6p/3P4/P4NN1/1PQ1BPPP/R2R2K1,False,0.0,27.0,2113,5,32
r2r4/ppbbkp2/2n1pp2/q6p/3P4/P4NN1/1PQ1BPPP/R2R2K1,True,0.0,19.0,2083,5,33
r2r4/ppbbkp2/2n1pp2/2q4p/3P4/P4NN1/1P2BPPP/R2R2K1,True,0.0,2.0,2083,5,35
r2r4/ppbbkp2/2n1pp2/2P4p/8/P4NN1/1P2BPPP/R2R2K1,False,0.0,6.0,2113,5,36
r2rb3/ppb1kp2/2n1pp2/2P4p/8/P4NN1/1P2BPPP/R2R2K1,True,0.003,4.0,2083,5,37
r2rb3/ppb1kp2/2n1pp2/2P4N/8/P4N2/1P2BPPP/R2R2K1,False,0.0,12.0,2113,5,38
r2rb3/ppb1kp2/2n1p3/2P2p1N/8/P4N2/1P2BPPP/R2R2K1,True,0.011,10.0,2083,5,39
r2rb3/ppb1kp2/2n1p3/2P2p1N/1P6/P4N2/4BPPP/R2R2K1,False,0.002,1.0,2113,5,40
r2rb3/ppb1k3/2n1pp2/2P2p1N/1P6/P4N2/4BPPP/R2R2K1,True,0.001,11.0,2083,5,41
r2Rb3/ppb1k3/2n1pp2/2P2p1N/1P6/P4N2/4BPPP/R5K1,False,0.0,3.0,2113,5,42
3rb3/ppb1k3/2n1pp2/2P2p1N/1P6/P4N2/4BPPP/R5K1,True,0.0,0.0,2083,5,43
3rb3/ppb1k3/2n1pp2/2P2p1N/1P6/P4N2/4BPPP/3R2K1,False,0.0,2.0,2113,5,44
4b3/ppb1k3/2n1pp2/2P2p1N/1P6/P4N2/4BPPP/3r2K1,True,0.0,2.0,2083,3,45
